year,country,iso,ifs,cpi,narrowm,money,stir,ltrate
1879,France,FRA,132,0.0630077377,0.132,0.143,2.875,3.73
1880,France,FRA,132,0.0636852402,0.134,0.146,2.52,3.56
1881,France,FRA,132,0.0630077377,0.137,0.151,3.68,3.54
1882,France,FRA,132,0.0630077377,0.137,0.154,3.41,3.67
1883,France,FRA,132,0.0643627428,0.136,0.154,2.67,3.83
1884,France,FRA,132,0.0643627428,0.135,0.156,2.48,3.88
1885,France,FRA,132,0.0630077377,0.134,0.157,2.45,3.79
1886,France,FRA,132,0.0630077377,0.138,0.163,2.2,3.66
1887,France,FRA,132,0.0623302351,0.135,0.16,2.42,3.78
1888,France,FRA,132,0.0630077377,0.145,0.171,2.73,3.63
1889,France,FRA,132,0.0623302351,0.133,0.162,2.54,3.51
1890,France,FRA,132,0.0623302351,0.135,0.168,2.62,3.26
1891,France,FRA,132,0.0630077377,0.138,0.173,2.51,3.18
1892,France,FRA,132,0.0623302351,0.144,0.182,1.81,3.07
1893,France,FRA,132,0.0616527326,0.152,0.189,2.22,3.1
1894,France,FRA,132,0.0623302351,0.15,0.188,1.79,2.98
1895,France,FRA,132,0.0616527326,0.147,0.187,1.63,2.96
1896,France,FRA,132,0.0616527326,0.15,0.19,1.71,2.94
1897,France,FRA,132,0.0602977275,0.152,0.194,1.82,2.9
1898,France,FRA,132,0.06097523,0.154,0.196,1.99,2.92
1899,France,FRA,132,0.06097523,0.156,0.199,2.84,2.98
1900,France,FRA,132,0.0616527326,0.166,0.208,3.04,2.98
1901,France,FRA,132,0.0616527326,0.174,0.217,2.41,2.96
1902,France,FRA,132,0.0616527326,0.171,0.214,2.39,2.99
1903,France,FRA,132,0.06097523,0.18,0.222,2.7,3.06
1904,France,FRA,132,0.06097523,0.193,0.236,2.14,3.11
1905,France,FRA,132,0.06097523,0.199,0.244,2.11,3.03
1906,France,FRA,132,0.0616527326,0.208,0.255,2.68,3.08
1907,France,FRA,132,0.0623302351,0.21,0.259,3.35,3.16
1908,France,FRA,132,0.0630077377,0.228,0.278,2.14,3.13
1909,France,FRA,132,0.0630077377,0.237,0.291,1.75,3.07
1910,France,FRA,132,0.0636852402,0.243,0.299,2.39,3.06
1911,France,FRA,132,0.0663952505,0.25,0.306,2.61,3.14
1912,France,FRA,132,0.0663952505,0.253,0.309,3.12,3.27
1913,France,FRA,132,0.0663952505,0.271,0.299,3.82,3.44
1914,France,FRA,132,0.0677502556,,,2.87,3.78
1915,France,FRA,132,0.079706183,,,,4.36
1916,France,FRA,132,0.0916621105,,,,4.8
1917,France,FRA,132,0.1076033471,,,,4.95
1918,France,FRA,132,0.1394858203,,,,4.94
1919,France,FRA,132,0.1753536027,,,,4.82
1920,France,FRA,132,0.2431038582,0.67,0.751,,5.3
1921,France,FRA,132,0.211221385,0.694,0.789,,5.3
1922,France,FRA,132,0.2032507667,0.686,0.793,4.29,5.05
1923,France,FRA,132,0.2271626216,0.718,0.83,4.39,5.42
1924,France,FRA,132,0.2590450948,0.74,0.855,5.21,5.58
1925,France,FRA,132,0.2749863314,0.91,1.047,5.69,6.37
1926,France,FRA,132,0.3586778236,1.09,1.244,5.66,6.15
1927,France,FRA,132,0.3746190602,1.221,1.427,2.91,4.6
1928,France,FRA,132,0.3746190602,1.457,1.717,3.02,4.35
1929,France,FRA,132,0.3985309151,1.498,1.808,3.47,4.08
1930,France,FRA,132,0.4025162243,1.65,2.03,2.35,3.44
1931,France,FRA,132,0.3865749877,1.81,2.34,1.56,3.48
1932,France,FRA,132,0.3507072053,1.8,2.36,1.3,3.84
1933,France,FRA,132,0.3387512779,1.66,2.24,1.63,4.38
1934,France,FRA,132,0.3267953504,1.63,2.22,2.02,4.14
1935,France,FRA,132,0.2988981863,1.5,2.11,3.24,3.88
1936,France,FRA,132,0.3188247321,1.6,2.17,3.68,4.32
1937,France,FRA,132,0.4025162243,1.75,2.36,3.83,4.27
1938,France,FRA,132,0.4583105524,2.04,2.67,2.76,4.04
1939,France,FRA,132,0.4862077165,2.43,3.09,2.05,3.97
1940,France,FRA,132,0.5778698269,3.47,4.14,1.72,4.06
1941,France,FRA,132,0.6775025557,5.03,5.78,1.67,3.19
1942,France,FRA,132,0.816988376,5.7,6.62,1.62,3.14
1943,France,FRA,132,1.0122685244,7.44,8.65,1.65,3.11
1944,France,FRA,132,1.2394311461,9.38,11.15,1.64,3.01
1945,France,FRA,132,1.8372275188,9.77,12.45,1.37,2.99
1946,France,FRA,132,2.8016723334,12.55,15.46,1.31,3.17
1947,France,FRA,132,4.1805892997,15.66,18.74,1.57,3.91
1948,France,FRA,132,6.6315544278,20.27,24.24,2.089999999,6.8352767798
1949,France,FRA,132,7.4736565774,27.12,31.99,2.52,7.0627203154
1950,France,FRA,132,8.2104959582,31.29,31.89,2.429999999,7.8049044843
1951,France,FRA,132,9.5789119513,36.95,37.75,2.699999999,7.8288459091
1952,France,FRA,132,10.7368024069,41.88,42.87,3.709999999,6.7035989434
1953,France,FRA,132,10.5262768695,46.58,47.94,4.039999999,6.4761554078
1954,France,FRA,132,10.5262768695,52.98,54.65,3.589999999,6.4402432706
1955,France,FRA,132,10.6315396382,59.69,61.69,3.16,6.2367411597
1956,France,FRA,132,10.9473279443,65.85,68.17,3.19,6.4402432706
1957,France,FRA,132,11.4736417878,71.37,75.35,5.349999999,7.0746910278
1958,France,FRA,132,13.1578460869,74.58,79.96,6.489999999,6.8352767798
1959,France,FRA,132,13.9999482365,83.11,90.66,4.069999999,6.3205361465
1960,France,FRA,132,14.5262620799,94.87,106,4.08,6.1649168853
1961,France,FRA,132,14.9473131547,110,124,3.649999999,6.0691511861
1962,France,FRA,132,15.6841525356,130,147,3.61,6.0092976241
1963,France,FRA,132,16.4209919165,148,168,3.979999999,5.9494440633
1964,France,FRA,132,16.9473057599,161,184,4.739999999,6.0811218997
1965,France,FRA,132,17.4736196034,176,204,4.209999999,6.3085654341
1966,France,FRA,132,17.922817547,189,226,4.779999999,6.4641846954
1967,France,FRA,132,18.4279397325,198,256,4.8,6.7754232178
1968,France,FRA,132,19.2668033621,214,285,6.149999999,7.014837467
1969,France,FRA,132,20.4303883965,210,300,8.959999999,7.6971680727
1970,France,FRA,132,21.6246415638,232,344,8.679999999,8.1219899591
1971,France,FRA,132,22.7918346139,260,407,5.839999999,7.7895206575
1972,France,FRA,132,24.1737045928,299,484,4.949999999,7.4150729087
1973,France,FRA,132,25.9578683124,328,555,8.91,8.331042626
1974,France,FRA,132,29.5009396422,378,654,12.91,10.5575794641
1975,France,FRA,132,32.9483985584,425,757,7.919999999,9.638251471
1976,France,FRA,132,36.1198442804,457,850,8.559999999,9.3939369084
1977,France,FRA,132,39.5492631185,506,974,9.069999999,9.9388171527
1978,France,FRA,132,43.207790948,567.5017451808,1681,7.979999999,9.5719255244
1979,France,FRA,132,47.8080108519,634.5946670333,1923,9.04,9.8783681887
1980,France,FRA,132,54.2807908577,844.0187786383,1943.74490154,11.849999999,13.1275
1981,France,FRA,132,61.5182296387,929.0247928992,2166.08152669,15.3,15.845
1982,France,FRA,132,68.8871757661,1028.53401643,2404.58749189,14.869999999,15.6491666667
1983,France,FRA,132,75.4035915107,1115.8315071442,2666.45864543,12.533333333,13.5866666667
1984,France,FRA,132,81.1899147465,1217.393876085,2892.02257902,11.740833333,12.4891666667
1985,France,FRA,132,85.9241792123,1313.9545729008,2990.18654407,9.934166666,11.1233333333
1986,France,FRA,132,88.1053872663,1411.6145443225,3095.08718751,7.7424999998,8.5441666667
1987,France,FRA,132,91.0030836205,1475.6889707133,3231.85422201,7.9758333333,9.4783333333
1988,France,FRA,132,93.460910575,1512.11863597,3348.01764714,7.5233333333,9.0841666667
1989,France,FRA,132,96.7304552875,1598.0151118583,3532.93192544,9.0716666667,8.7966666667
1990,France,FRA,132,100,1658.4653758242,3559.68841147,9.8466666667,9.9325
1991,France,FRA,132,103.2169347446,1652.9979742292,3478.16607551,9.4906666667,9.0366666667
1992,France,FRA,132,105.6588049004,1635.625499715,3441.02579017,10.3516666667,8.5875
1993,France,FRA,132,107.8839903325,1626.5049642608,3416.69634504,8.7491666667,6.775
1994,France,FRA,132,109.6758063172,1679.7834316933,3560.17381965,5.6925,7.2158333333
1995,France,FRA,132,111.6259688307,1696.2036752958,3871.77963293,6.3541666667,7.535
1996,France,FRA,132,113.8638219505,1781.1369876558,3864.01310205,3.7283333333,6.3108333333
1997,France,FRA,132,115.3053379364,1868.00154675,4134.72655595,3.2408333333,5.5816666667
1998,France,FRA,132,116.0871081276,2033.0135430392,4289.70295677,3.3925,4.64
1999,France,FRA,132,116.7569307415,2210.3345724333,4510.06515135,2.730525,4.6083333333
2000,France,FRA,132,118.8737338959,2364.1029191117,4780.59493729,4.240525,5.3941666667
2001,France,FRA,132,120.9920638339,2476.5989979808,5113.23729156,4.2579,4.9391666667
2002,France,FRA,132,123.3380999516,2742.2593964575,5527.95954524,3.2951333333,4.86
2003,France,FRA,132,126.0170034826,2837.2315840717,5780.01758206,2.2755416667,4.13
2004,France,FRA,132,128.9557200038,3060.5887689875,6183.17531383,2.0249083333,4.0983333333
2005,France,FRA,132,131.3904039975,3376.3210984283,6702.64734084,2.0710416667,3.41
2006,France,FRA,132,133.8815660573,3688.941458535,7248.98736657,2.88915,3.7966666667
2007,France,FRA,132,136.0263487455,3918.6554134117,8239.03638581,3.86405,4.3041666667
2008,France,FRA,132,140.3275018928,3972.9763058433,8906.35456105,3.6189333333,4.2341666667
2009,France,FRA,132,140.4706359448,4109.7580993758,8879.35537093,0.647225,3.6491916667
2010,France,FRA,132,142.9092061848,4472.1552097967,9552.65587401,0.3762583333,3.1171
2011,France,FRA,132,146.1803979143,4695.7900831758,9931.35296925,0.6933583333,3.3212166667
2012,France,FRA,132,149.4197555321,4993.4551703133,10498.32284263,0.0493333333,2.5361833333
2013,France,FRA,132,150.8930343217,5241.4528333033,10792.84097606,0.0430666667,2.2046083333
1870,UK,GBR,112,2.1972130379,0.1252895687,0.5002786722,3.05,3.24
1871,UK,GBR,112,2.2279740205,0.1347832485,0.5514075531,2.63,3.23
1872,UK,GBR,112,2.3326887994,0.1361413055,0.5720454175,3.9,3.24
1873,UK,GBR,112,2.4050021522,0.1370786388,0.5720800981,4.49,3.24
1874,UK,GBR,112,2.3256370812,0.1377067892,0.5909954913,3.41,3.24
1875,UK,GBR,112,2.2814499767,0.1408035115,0.6091951148,2.9,3.2
1876,UK,GBR,112,2.2746056267,0.1376842853,0.6111035127,1.89,3.16
1877,UK,GBR,112,2.2586833873,0.1339095129,0.5781993025,2.34,3.15
1878,UK,GBR,112,2.2089923528,0.1378682297,0.5484279091,3.23,3.15
1879,UK,GBR,112,2.1117966893,0.1295124608,0.5530153856,1.76,3.17
1880,UK,GBR,112,2.17515059,0.1261564552,0.550594485,2.32,3.1
1881,UK,GBR,112,2.1512239335,0.1288696341,0.5724693226,2.86,2.9
1882,UK,GBR,112,2.1727361728,0.1316659792,0.5911858684,3.38,2.94
1883,UK,GBR,112,2.161872492,0.126980291,0.5889826479,3.03,2.83
1884,UK,GBR,112,2.1035019347,0.1265713084,0.5918702989,2.4,2.72
1885,UK,GBR,112,2.0403968766,0.1248678665,0.6035824117,2.13,2.85
1886,UK,GBR,112,2.0077505266,0.1248355784,0.6060888324,2.13,2.81
1887,UK,GBR,112,1.997711774,0.1196841589,0.6139695944,2.4,2.72
1888,UK,GBR,112,2.0116957564,0.1234540391,0.635563621,2.38,2.62
1889,UK,GBR,112,2.039859497,0.1272425095,0.652875957,2.69,2.63
1890,UK,GBR,112,2.043939216,0.1309801017,0.6743856526,3.66,2.67
1891,UK,GBR,112,2.0582467905,0.132670824,0.6928209081,2.63,2.68
1892,UK,GBR,112,2.0664797776,0.1342118469,0.6958445647,1.43,2.65
1893,UK,GBR,112,2.0520144192,0.1333743132,0.688902892,2.13,2.6
1894,UK,GBR,112,2.0109741308,0.1302247558,0.705362092,0.97,2.55
1895,UK,GBR,112,1.9908643895,0.1392996687,0.7458752176,0.8,2.29
1896,UK,GBR,112,1.9848917963,0.1394973111,0.7793439265,1.47,2.06
1897,UK,GBR,112,2.0146651733,0.1430812901,0.7999290521,1.78,1.96
1898,UK,GBR,112,2.0207091688,0.1438072832,0.8117444901,2.66,2
1899,UK,GBR,112,2.034854133,0.1578643478,0.8508871566,3.18,2.18
1900,UK,GBR,112,2.1386316938,0.1587899399,0.8656861755,3.66,2.53
1901,UK,GBR,112,2.1493248522,0.1599024118,0.8555622528,3.16,2.67
1902,UK,GBR,112,2.1493248522,0.1607634278,0.8808473094,2.97,2.66
1903,UK,GBR,112,2.1579221516,0.1570796491,0.8543618988,3.41,2.75
1904,UK,GBR,112,2.1536063073,0.1522188224,0.8538778809,2.68,2.83
1905,UK,GBR,112,2.1622207326,0.1597125969,0.8739596263,2.56,2.78
1906,UK,GBR,112,2.1622207326,0.1607507082,0.9019124043,3.99,2.83
1907,UK,GBR,112,2.1881673814,0.1632408056,0.9072096598,4.47,2.97
1908,UK,GBR,112,2.1991082183,0.164043116,0.9328955027,2.32,2.9
1909,UK,GBR,112,2.2101037594,0.1675977422,0.9459899594,2.29,2.98
1910,UK,GBR,112,2.2299946932,0.1726826287,0.9722642448,3.16,3.08
1911,UK,GBR,112,2.2322246879,0.1811264561,0.985251744,2.91,3.15
1912,UK,GBR,112,2.2991914285,0.1863815889,1.0149434743,3.62,3.28
1913,UK,GBR,112,2.2899946628,0.1965200523,1.0744686793,4.37,3.39
1914,UK,GBR,112,2.2831246788,0.2501564568,1.2304073451,2.91,3.46
1915,UK,GBR,112,2.5685152637,0.2989144229,1.3229948694,3.66,3.82
1916,UK,GBR,112,3.0334165264,0.3579341342,1.5175713782,5.2,4.31
1917,UK,GBR,112,3.7978374911,0.4191200835,1.7688884418,4.79,4.58
1918,UK,GBR,112,4.6333617391,0.5716617869,2.2068796331,3.57,4.4
1919,UK,GBR,112,5.1013312747,0.6209314704,2.5444697782,3.48,4.62
1920,UK,GBR,112,5.886936291,0.6102372604,2.6970676781,6.21,5.32
1921,UK,GBR,112,5.38065977,0.5456277941,2.6064770292,4.58,5.21
1922,UK,GBR,112,4.6273674022,0.4827677558,2.3603970712,2.57,4.43
1923,UK,GBR,112,4.3497253581,0.4760146507,2.3227369354,2.62,4.31
1924,UK,GBR,112,4.3192772806,0.4779431309,2.3198760661,3.39,4.39
1925,UK,GBR,112,4.3322351124,0.4736732743,2.3184323374,4.09,4.43
1926,UK,GBR,112,4.2975772315,0.4673516557,2.3519013175,4.51,4.55
1927,UK,GBR,112,4.194435378,0.4720676751,2.412678837,4.25,4.56
1928,UK,GBR,112,4.1818520718,0.4642588471,2.5125956716,4.15,4.47
1929,UK,GBR,112,4.1442154032,0.4573443016,2.5171369028,5.26,4.6
1930,UK,GBR,112,4.0281773719,0.4519737143,2.6431321385,2.48,4.46
1931,UK,GBR,112,3.8549657449,0.4499826148,2.5642091922,3.59,4.53
1932,UK,GBR,112,3.7547366355,0.4450444924,2.8383864671,1.49,3.76
1933,UK,GBR,112,3.6758871662,0.4554647428,2.8812924162,0.59,3.38
1934,UK,GBR,112,3.6758871662,0.4675806077,2.9615713507,0.73,3.08
1935,UK,GBR,112,3.7016183763,0.4906538796,3.1407461405,0.55,2.89
1936,UK,GBR,112,3.727529705,0.5375626181,3.3707049051,0.58,2.94
1937,UK,GBR,112,3.854265715,0.5650789282,3.473100628,0.56,3.28
1938,UK,GBR,112,3.9159339664,0.5757193248,3.4457397988,0.61,3.38
1939,UK,GBR,112,4.0255801175,0.6294711837,3.6354647088,1.32,3.72
1940,UK,GBR,112,4.7018775772,0.7048560695,3.9653695548,1.03,3.4
1941,UK,GBR,112,5.2096803555,0.8370738816,4.6356309914,1.01,3.13
1942,UK,GBR,112,5.5795676608,1.0149128221,5.0986921091,1,3.03
1943,UK,GBR,112,5.7692729612,1.1794079714,5.679635576,1,3.1
1944,UK,GBR,112,5.9250433312,1.3615304665,6.3348118651,1,3.14
1945,UK,GBR,112,6.0909445445,1.506233989,6.8306267455,0.9,2.92
1946,UK,GBR,112,6.2797638253,1.5583636155,7.7608470785,0.5,2.6
1947,UK,GBR,112,6.7193472931,1.5439963895,8.0692191859,0.51,2.76
1948,UK,GBR,112,7.2367370347,1.4446654747,8.2967690773,0.51,3.21
1949,UK,GBR,112,7.4393656716,1.4719313074,8.4011225637,0.52,3.3
1950,UK,GBR,112,7.7308768657,1.4886007728,8.7313092425,0.52,3.55
1951,UK,GBR,112,8.4305037313,1.5693807066,8.7300791042,0.56,3.79
1952,UK,GBR,112,9.328358209,1.6709991843,8.9858096216,2.2,4.23
1953,UK,GBR,112,9.666511194,1.7604900561,9.4330171984,2.3,4.08
1954,UK,GBR,112,9.8880597015,1.8685720244,9.9323478992,1.79,3.76
1955,UK,GBR,112,10.3894589552,2.0065987592,9.8608297122,3.75,4.17
1956,UK,GBR,112,10.9258395522,2.1368871128,10.1613929227,4.95,4.74
1957,UK,GBR,112,11.3456156716,2.2387863992,10.5485364248,4.81,4.98
1958,UK,GBR,112,11.672108209,2.2869074092,11.0139674199,4.56,4.98
1959,UK,GBR,112,11.7420708955,2.353998167,11.6389016265,3.38,4.82
1960,UK,GBR,112,11.8353544776,2.4943046374,11.8805059371,4.89,5.4
1961,UK,GBR,112,12.2201492537,2.5941042189,12.2511365159,5.14,6.2
1962,UK,GBR,112,12.7332089552,2.5933214771,12.8308711148,4.17,5.98
1963,UK,GBR,112,13.0013992537,2.706916883,13.8073944577,3.67,5.5883333333
1964,UK,GBR,112,13.4211753731,2.8733473615,14.8733583979,4.59,6.06
1965,UK,GBR,112,13.9925373134,3.04623546,16.2834811437,5.91,6.4333333333
1966,UK,GBR,112,14.552238806,3.1297931488,17.3431397507,6.12,6.8175
1967,UK,GBR,112,14.8787313433,3.3004308645,19.4828904377,5.81,6.73
1968,UK,GBR,112,15.4734141791,3.4619692067,21.1419630028,7.03,7.4591666667
1969,UK,GBR,112,16.2779850746,3.6276169434,22.2203365402,7.63,8.9408333333
1970,UK,GBR,112,17.3390858209,3.8806240234,24.8804516566,7.02,9.2333333333
1971,UK,GBR,112,18.9715485075,4.0869953613,28.945731523,5.58,9.0408333333
1972,UK,GBR,112,20.3358208955,4.5838613281,35.2340168794,5.52,9.1983333333
1973,UK,GBR,112,22.2364738806,5.0261899414,43.0752118233,9.38,10.91
1974,UK,GBR,112,25.734608209,5.8045600586,47.7827746964,11.38,15.1733333333
1975,UK,GBR,112,31.5764925373,6.4545820313,53.5519295371,10.18,14.6008333333
1976,UK,GBR,112,36.5205223881,7.224262207,59.9283967583,11.15,14.2275
1977,UK,GBR,112,41.9776119403,8.2147880859,68.8426635353,7.66,12.1916666667
1978,UK,GBR,112,45.1142723881,9.3782070313,79.2810439977,8.51,12.0266666667
1979,UK,GBR,112,50.244869403,10.4544033203,90.7629167355,13,11.3458333333
1980,UK,GBR,112,57.859141791,11.0245410156,106.4308502419,15.12,11.9291666667
1981,UK,GBR,112,64.6921641791,11.6186972656,121.3786937191,12.98,13.0116666667
1982,UK,GBR,112,69.9393656716,12.0146767578,136.6181257795,11.38,11.7408333333
1983,UK,GBR,112,73.390858209,12.7884003906,154.6630169897,9.59,10.2508333333
1984,UK,GBR,112,76.515858209,13.4695585938,175.7166778297,9.3,10.1733333333
1985,UK,GBR,112,80.2821828358,13.9712578125,201.5741880552,11.6,10.09
1986,UK,GBR,112,82.9524253731,14.6742685547,233.3491221145,10.34,9.4633333333
1987,UK,GBR,112,85.6110074627,15.4407617188,272.3307032719,9.23,9.315
1988,UK,GBR,112,88.8292910448,16.6266523438,319.0075888432,9.8,9.1233333333
1989,UK,GBR,112,93.4818097015,17.6021894531,376.7238980136,13.28,9.2608333333
1990,UK,GBR,112,100,18.1004570313,421.9563002956,14.09,10.8791666667
1991,UK,GBR,112,107.5326492537,18.62265625,447.0725136747,10.82,9.9891666667
1992,UK,GBR,112,112.1152052239,19.2981054688,462.6441331719,8.94,9.1633333333
1993,UK,GBR,112,114.9253731343,20.3466289063,483.1687578158,5.21,7.6875
1994,UK,GBR,112,117.1991604478,21.6478535156,505.9273780305,5.15,8.1775
1995,UK,GBR,112,120.3125,22.8525683594,555.5262262008,6.33,8.2433333333
1996,UK,GBR,112,123.2003710766,24.4253808594,608.1730267753,5.78,8.0325
1997,UK,GBR,112,125.4482927733,26.0251328125,679.61975,6.48,7.1258333333
1998,UK,GBR,112,127.4020213729,27.5415292969,740.8208125,6.82,5.5325833333
1999,UK,GBR,112,129.0948251619,30.7757089844,770.17975,5.04,4.8460833333
2000,UK,GBR,112,130.12300915,32.2143515625,830.9906875,5.8,4.9129166667
2001,UK,GBR,112,131.7280920764,34.8484140625,884.2963125,4.76,5.0543333333
2002,UK,GBR,112,133.3864340979,37.0377773438,944.247,3.86,5.04675
2003,UK,GBR,112,135.202613998,39.8572148438,1005.659,3.56,4.8848333333
2004,UK,GBR,112,137.0190922684,42.187171875,1078.6895,4.44,4.7735833333
2005,UK,GBR,112,139.8374979423,43.6258046875,1184.662625,4.55,4.43875
2006,UK,GBR,112,143.0939111885,45.8520117188,1303.416375,4.65,4.2410833333
2007,UK,GBR,112,146.4177561183,48.5896015625,1442.042375,5.53,4.6320833333
2008,UK,GBR,112,151.6916000192,52.0938085938,1495.7695,4.32,4.5914166667
2009,UK,GBR,112,154.976209257,55.674203125,1515.022,0.53,4.545
2010,UK,GBR,112,160.0875905399,57.8411953125,1553.289625,0.5,4.2379
2011,UK,GBR,112,167.2334095835,60.8941484375,1575.472,0.48,3.8322
2012,UK,GBR,112,171.9631752771,63.4831132813,1658.108875,0.313,2.8646
2013,UK,GBR,112,176.3736847701,66.5190625,1720.332125,0.302,3.1912
1870,Italy,ITA,136,0.0216246,1.9677,2.42132,6,9.066591
1871,Italy,ITA,136,0.0223969,2.2459,2.83747,6,8.632758
1872,Italy,ITA,136,0.0252287,2.4922,3.33129,,7.466775
1873,Italy,ITA,136,0.0267733,2.5816,3.36177,,8.088533
1874,Italy,ITA,136,0.0274169,2.6033,3.45864,,7.721492
1875,Italy,ITA,136,0.0234267,2.6237,3.59194,,7.016125
1876,Italy,ITA,136,0.0248426,2.6689,3.68261,,6.982392
1877,Italy,ITA,136,0.0257436,2.6994,3.83968,,7.180208
1878,Italy,ITA,136,0.0249713,2.7092,3.91067,,6.822142
1879,Italy,ITA,136,0.0245851,2.7529,4.02746,,6.47005
1880,Italy,ITA,136,0.0254861,2.8127,4.14838,,6.044558
1881,Italy,ITA,136,0.0238386,2.7201,4.13536,,5.500975
1882,Italy,ITA,136,0.0232722,2.581,4.02986,,5.659192
1883,Italy,ITA,136,0.0225256,2.535,4.13112,,5.440892
1884,Italy,ITA,136,0.022088,2.6313,4.35903,,5.03965
1885,Italy,ITA,136,0.0225771,2.743,4.63839,4,5.04765
1886,Italy,ITA,136,0.0225514,2.8419,5.02305,4.5,4.866658
1887,Italy,ITA,136,0.0224999,2.8932,5.16202,5.25,4.845592
1888,Italy,ITA,136,0.0227831,2.8952,5.20962,4.75,4.854
1889,Italy,ITA,136,0.0231692,2.9963,5.30568,5.25,5.078942
1890,Italy,ITA,136,0.023993,3.0695,5.23054,5.25,5.116375
1891,Italy,ITA,136,0.0239158,3.0967,5.17668,4.25,5.282267
1892,Italy,ITA,136,0.0237098,3.1472,5.3385,3.5,5.327825
1893,Italy,ITA,136,0.023195,3.1941,5.32779,6,5.456083
1894,Italy,ITA,136,0.023092,3.1733,5.14402,4,6.079567
1895,Italy,ITA,136,0.0229633,3.1286,5.21658,3,5.297083
1896,Italy,ITA,136,0.0228603,3.0949,5.13273,4,5.2983
1897,Italy,ITA,136,0.0228088,3.2321,5.2791,3,4.896133
1898,Italy,ITA,136,0.0229633,3.2948,5.44956,3.5,4.8234
1899,Italy,ITA,136,0.0226029,3.3731,5.85165,5,4.871575
1900,Italy,ITA,136,0.0227058,3.3824,5.98341,4.5,5.051108
1901,Italy,ITA,136,0.0227316,3.4294,6.2222,4,4.888842
1902,Italy,ITA,136,0.0225771,3.4969,6.41486,4.5,4.687867
1903,Italy,ITA,136,0.0232465,3.6557,6.84606,4,4.805775
1904,Italy,ITA,136,0.0235296,3.8079,7.31724,3.375,4.883792
1905,Italy,ITA,136,0.0235554,3.9686,8.01393,5,4.8748
1906,Italy,ITA,136,0.023993,4.2877,8.21714,5,4.9252
1907,Italy,ITA,136,0.0251257,4.7928,9.04121,5.5,4.951575
1908,Italy,ITA,136,0.0248683,4.7946,9.51395,3.75,4.9526
1909,Italy,ITA,136,0.0241732,4.8904,10.0875,4.25,4.960992
1910,Italy,ITA,136,0.0248426,5.158,10.6786,5,4.994992
1911,Italy,ITA,136,0.0254604,5.4573,11.2775,5.5,5.02093
1912,Italy,ITA,136,0.0256921,5.5086,11.4725,5.75,5.02388
1913,Italy,ITA,136,0.0257436,5.7346,12.0656,5.375,5.054413
1914,Italy,ITA,136,0.0257436,6.7643,12.9435,4.25,3.825
1915,Italy,ITA,136,0.0275456,8.2489,14.922,,5.224
1916,Italy,ITA,136,0.0344707,9.8851,18.6465,,5.6
1917,Italy,ITA,136,0.0487583,14.8676,25.1956,,6.306
1918,Italy,ITA,136,0.0679888,19.4565,34.583,,4.93
1919,Italy,ITA,136,0.0690185,26.314,48.6946,,5.33
1920,Italy,ITA,136,0.0906946,31.6834,59.3719,,6.38
1921,Italy,ITA,136,0.1072992,32.5327,57.8779,,6.62
1922,Italy,ITA,136,0.1066556,31.4815,58.5089,5.8,6.37
1923,Italy,ITA,136,0.1060378,30.8389,66.8852,5.38,6.47
1924,Italy,ITA,136,0.1097706,32.969,75.293,5.35,5.27
1925,Italy,ITA,136,0.1233118,33.9924,80.832,7.15,5.49
1926,Italy,ITA,136,0.1330171,33.7406,89.6309,8.44,5.83
1927,Italy,ITA,136,0.1216127,32.8863,91.8643,7.72,6.49
1928,Italy,ITA,136,0.1127054,32.6317,95.3072,5.46,6.19
1929,Italy,ITA,136,0.1145075,32.7682,96.5275,6.69,6.5
1930,Italy,ITA,136,0.1108776,33.43,96.8117,6,6.43
1931,Italy,ITA,136,0.1001683,33.6082,94.9322,6,6.59
1932,Italy,ITA,136,0.0975424,35.3984,92.3285,5.88,6.28
1933,Italy,ITA,136,0.0917759,36.8234,94.9351,3.88,6.08
1934,Italy,ITA,136,0.087039,37.4693,93.474,3.75,5.68
1935,Italy,ITA,136,0.0882747,41.2356,93.8851,4.5,5.77
1936,Italy,ITA,136,0.0949423,45.368,102.7786,5,5.9
1937,Italy,ITA,136,0.1039268,48.8204,95.78,5.04,5.75
1938,Italy,ITA,136,0.1119073,54.9253,105.07,5.25,5.45
1939,Italy,ITA,136,0.1168501,65.0764,118.9,5.26,5.74
1940,Italy,ITA,136,0.1363637,80.7097,144.99,5.26,5.66
1941,Italy,ITA,136,0.1577824,109.662,196.4,5.26,5.61
1942,Italy,ITA,136,0.1823675,154.499,263.07,4.92,5.67
1943,Italy,ITA,136,0.3058337,293.148,396.94,5.03,8.22
1944,Italy,ITA,136,1.359107,431.079,673.01,5.1,6.59
1945,Italy,ITA,136,2.676817,558.787,945.11,4.71,5.95
1946,Italy,ITA,136,3.159149,814.66,1442.65,4.71,5.85
1947,Italy,ITA,136,5.119755,1270.8,2119.66,4.86,6.43
1948,Italy,ITA,136,5.4208,1814.85,2950,5.26,6.56
1949,Italy,ITA,136,5.45856,2245.17,3646,4.86,5.65
1950,Italy,ITA,136,5.4208,2510.5,4193,4.71,5.73
1951,Italy,ITA,136,6.1952,2893.1,4884,4.71,6.11
1952,Italy,ITA,136,6.3104,3346.8,5758,4.36,5.9
1953,Italy,ITA,136,6.4,3636.9,6641,4.17,6.06
1954,Italy,ITA,136,6.6,3791.6,7340,4.17,6.06
1955,Italy,ITA,136,6.8,4193.9,8299,4.17,6.2
